Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2022-05-10,The Bourne Identity,2002,https://boxd.it/2PotX5,3,,,2022-05-08
2022-05-12,Luca,2021,https://boxd.it/2PEmbb,4,Yes,,2022-05-11
2022-05-16,Back to the Future,1985,https://boxd.it/2Ql1tf,5,Yes,,2022-05-15
2022-05-16,Back to the Future Part II,1989,https://boxd.it/2Ql1D5,3.5,Yes,,2022-05-15
2022-05-19,Top Gun,1986,https://boxd.it/2QRsGf,3,,,2022-05-18
2022-05-26,The Nice Guys,2016,https://boxd.it/2Sc0JV,4,,,2022-05-25
2022-05-29,The Notebook,2004,https://boxd.it/2SD5td,2.5,,,2022-05-28
2022-05-31,Murder Mystery,2019,https://boxd.it/2T1MUz,3,,,2022-05-30
2022-06-02,Doctor Strange in the Multiverse of Madness,2022,https://boxd.it/2TmxxH,3,Yes,,2022-06-01
2022-06-04,Step Up,2006,https://boxd.it/2TMWvt,1.5,,,2022-06-03
2022-06-05,Lady Bird,2017,https://boxd.it/2TSW0x,4.5,Yes,,2022-06-04
2022-06-14,X-Men,2000,https://boxd.it/2VtHmh,2,Yes,,2022-06-12
2022-06-16,A Clockwork Orange,1971,https://boxd.it/2VSmgH,4,Yes,,2022-06-15
2022-06-22,Everything Everywhere All at Once,2022,https://boxd.it/2X01Qf,3.5,,,2022-06-21
2022-06-25,Cha Cha Real Smooth,2022,https://boxd.it/2XzH1j,4.5,,,2022-06-25
2022-07-04,GoodFellas,1990,https://boxd.it/2Ze7N3,4.5,,,2022-07-03
2022-07-17,X2,2003,https://boxd.it/31N9jd,3,,,2022-07-16
2022-07-19,X-Men: The Last Stand,2006,https://boxd.it/32bGmn,2,,,2022-07-16
2022-07-23,Obi-Wan Kenobi,2022,https://boxd.it/32Z13J,3,,,2022-07-22
2022-07-25,The Wizard of Oz,1939,https://boxd.it/33uFPl,3.5,,,2022-07-24
2022-07-26,Elvis,2022,https://boxd.it/33FxmH,2,,,2022-07-25
2022-07-31,Cars,2006,https://boxd.it/34Zksh,4,Yes,,2022-07-30
2022-08-01,Oz the Great and Powerful,2013,https://boxd.it/359ghz,3.5,Yes,,2022-07-31
2022-08-02,Camp Rock,2008,https://boxd.it/35y3EZ,1.5,,,2022-07-31
2022-08-02,To Catch a Thief,1955,https://boxd.it/35qyWJ,3.5,,,2022-08-01
2022-08-02,Cars 2,2011,https://boxd.it/35rGfb,2.5,Yes,,2022-08-01
2022-08-03,Cars 3,2017,https://boxd.it/35EMWr,2,,,2022-08-02
2022-08-04,Thor: Ragnarok,2017,https://boxd.it/35QyGt,3,,,2022-08-03
2022-08-07,Belfast,2021,https://boxd.it/36v2K1,3,,,2022-08-06
2022-08-07,Casino,1995,https://boxd.it/36v2Vj,4,,,2022-08-06
2022-08-07,Licorice Pizza,2021,https://boxd.it/36v37z,4.5,Yes,,2022-08-06
2022-08-11,Moonraker,1979,https://boxd.it/37kRIx,3,Yes,,2022-08-09
2022-08-11,Zoolander,2001,https://boxd.it/37sUVv,4,,,2022-08-10
2022-08-12,The Thing,1982,https://boxd.it/37DMDl,5,,,2022-08-11
2022-08-22,The Lost City,2022,https://boxd.it/39zUdF,3,,,2022-08-20
2022-08-22,King Richard,2021,https://boxd.it/39zUtD,4,,,2022-08-20
2022-08-22,Once Upon a Time... in Hollywood,2019,https://boxd.it/39zUNN,5,Yes,,2022-08-20
