Date,Name,Year,Letterboxd URI,Rating
2021-08-31,The Tourist,2010,https://boxd.it/17Hs,3
2021-08-31,It,2017,https://boxd.it/bC8e,3
2021-08-31,The Incredibles,2004,https://boxd.it/1XLm,3
2021-08-31,Fast Five,2011,https://boxd.it/BgO,3
2021-08-31,The Imitation Game,2014,https://boxd.it/6aig,3
2021-08-31,Onward,2020,https://boxd.it/io92,3
2021-08-31,Tangled,2010,https://boxd.it/15gO,2.5
2021-08-31,Alvin and the Chipmunks,2007,https://boxd.it/21E0,2
2021-08-31,High School Musical 3: Senior Year,2008,https://boxd.it/1SR0,2
2021-08-31,Fury,2014,https://boxd.it/6JwC,2
2021-08-31,Despicable Me,2010,https://boxd.it/1DD8,2
2021-08-31,Night at the Museum,2006,https://boxd.it/28wi,2
2021-08-31,Madagascar 3: Europe's Most Wanted,2012,https://boxd.it/2NF6,2
2021-08-31,Furious 7,2015,https://boxd.it/5cVs,2
2021-08-31,Black Hawk Down,2001,https://boxd.it/29rI,3
2021-08-31,Ice Age,2002,https://boxd.it/2apS,2.5
2021-08-31,Transporter 2,2005,https://boxd.it/1YWq,3
2021-08-31,Vantage Point,2008,https://boxd.it/20Uw,3
2021-08-31,Cool Runnings,1993,https://boxd.it/29qg,2.5
2021-08-31,High School Musical 2,2007,https://boxd.it/1PIu,2.5
2021-08-31,Pokémon Detective Pikachu,2019,https://boxd.it/fVA0,3
2021-08-31,Shazam!,2019,https://boxd.it/8WBu,2.5
2021-08-31,Ready Player One,2018,https://boxd.it/aZes,2
2021-08-31,Gone Girl,2014,https://boxd.it/6hQu,2.5
2021-08-31,The Karate Kid Part II,1986,https://boxd.it/1ZJM,3
2021-08-31,Rambo: Last Blood,2019,https://boxd.it/iYPy,2.5
2021-08-31,Godzilla: King of the Monsters,2019,https://boxd.it/cY7Y,1.5
2021-09-18,Dune,2021,https://boxd.it/fA7G,4.5
2021-10-05,No Time to Die,2021,https://boxd.it/cPX2,3
2021-10-12,Squid Game,2021,https://boxd.it/x1OG,3.5
2021-10-19,The Last Duel,2021,https://boxd.it/mQbe,4
2021-10-24,Into the Wild,2007,https://boxd.it/22m2,4
2021-10-24,Enemy,2013,https://boxd.it/5xtO,3.5
2021-10-26,Titane,2021,https://boxd.it/nlQC,4.5
2021-10-27,The French Dispatch,2021,https://boxd.it/jLP8,4
2021-10-28,Alien³,1992,https://boxd.it/20zS,3
2021-10-31,"Crazy, Stupid, Love.",2011,https://boxd.it/D9A,3.5
2021-11-01,Friends with Benefits,2011,https://boxd.it/DoK,2.5
2021-11-04,Avengers: Infinity War,2018,https://boxd.it/9vEe,4
2021-11-12,Eternals,2021,https://boxd.it/j36o,2.5
2021-11-12,Guardians of the Galaxy Vol. 2,2017,https://boxd.it/8MxC,1.5
2021-11-12,Thor: The Dark World,2013,https://boxd.it/2DqA,2
2021-11-12,Burlesque,2010,https://boxd.it/Xfo,1.5
2021-11-14,Hereditary,2018,https://boxd.it/hNVe,4
2021-11-20,Lamb,2021,https://boxd.it/tFwE,3
2021-11-22,Rocky II,1979,https://boxd.it/28Ua,4.5
2021-11-28,Rocky III,1982,https://boxd.it/28Tw,4
2021-11-29,Rocky IV,1985,https://boxd.it/28T2,3.5
2021-12-05,Doctor Strange,2016,https://boxd.it/8MH8,3.5
2021-12-05,Ant-Man and the Wasp,2018,https://boxd.it/cqUW,2
2021-12-05,Captain America: The Winter Soldier,2014,https://boxd.it/3r58,3
2021-12-12,Ocean's Twelve,2004,https://boxd.it/2aZ2,3
2021-12-13,Rocky Balboa,2006,https://boxd.it/291q,3.5
2021-12-15,Creed,2015,https://boxd.it/a2qk,4
2021-12-15,14 Peaks: Nothing Is Impossible,2021,https://boxd.it/xDcA,2.5
2021-12-16,Creed II,2018,https://boxd.it/hgl8,3.5
2021-12-17,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,4
